Category,Quantity,Reference,Value,Order Code
Resistors,1,"R1",3.3k,
Resistors,8,"R2,R4,R5,R33,R34,R37,R65,R81",1k,
Resistors,22,"R3,R6-R18,R21,R22,R31,R36,R38,R39,R64,R80",10k,
Resistors,1,"R19",100k/1W,
Resistors,4,"R20,R25-R27",1k/1W,
Resistors,2,"R23,R24",1M,
Resistors,3,"R28-R30",470,
Resistors,3,"R32,R66,R82",100k,
Resistors,8,"R35,R40,R46,R56,R61,R62,R77,R78",4.7k,
Resistors,4,"R41,R49,R51,R59",8.2k,
Resistors,10,"R42,R43,R47,R48,R52,R53,R57,R58,R67,R83",2.2k,
Resistors,4,"R44,R45,R54,R55",0.22/5W,
Resistors,2,"R50,R60",0.47/5W,
Resistors,2,"R63,R79",680/1W,
Resistors,2,"R68,R84",330/1W,
Resistors,8,"R69,R70,R72,R75,R85,R86,R88,R91",10/1W,
Resistors,8,"R71,R73,R74,R76,R87,R89,R90,R92",0.33/5W,
Resistors,1,"R93",1/5W,
Capacitors,32,"C1,C3,C7-C10,C12,C14,C18-C21,C26,C27,C29,C30,C32,C33,C36,C37,C39,C41,C42,C45,C46,C48,C50,C51,C70,C72-C74",100nF,
Capacitors,2,"C2,C28",10nF,
Capacitors,2,"C4,C5",22pF,
Capacitors,1,"C6",1uF,
Capacitors,3,"C11,C13,C31",4700uF/25V,
Capacitors,5,"C15-C17,C64,C66",47uF/25V,
Capacitors,4,"C22-C25",1uF/25V,
Capacitors,8,"C34,C35,C38,C40,C43,C44,C47,C49",4700uF/100V,
Capacitors,8,"C52-C55,C60-C63",330pF,
Capacitors,4,"C56-C59",220pF,
Capacitors,2,"C65,C67",470uF/25V,
Capacitors,2,"C68,C69",10uF/25V,
Capacitors,1,"C71",100nF/630V,
Integrated Circuits,1,"U1",ICL8038,
Integrated Circuits,3,"U2,U5,U6",TL074,
Integrated Circuits,1,"U3",DAC716,DAC716
Integrated Circuits,1,"U4",PIC16F877A,
Integrated Circuits,1,"U7",7812,
Integrated Circuits,1,"U8",7912,
Integrated Circuits,1,"U9",7805,
Integrated Circuits,1,"U10",MAX232,
Integrated Circuits,1,"U11",DAC0800,
Integrated Circuits,1,"U12",TL072,
Transistors,6,"Q1,Q2,Q14,Q15,Q30,Q31",BD139,
Transistors,6,"Q3,Q4,Q20,Q21,Q36,Q37",TIP35,
Transistors,2,"Q5,Q6",BD140,
Transistors,6,"Q7,Q8,Q22,Q23,Q38,Q39",TIP36,
Transistors,4,"Q9,Q10,Q25,Q26",2SA1013,
Transistors,5,"Q11,Q12,Q27,Q28,Q41",BC548BP,
Transistors,4,"Q13,Q16,Q29,Q32",BC558,
Transistors,4,"Q17,Q19,Q33,Q35",TIP41,
Transistors,4,"Q18,Q24,Q34,Q40",TIP42,
Diodes,2,"D1,D2",LM336-2V5,
Diodes,13,"D3-D6,D11,D25,D26,D29-D34",1N4007,
Diodes,7,"D7-D9,D12,D14,D15,D17",LED-GREEN,
Diodes,1,"D10",9V1,
Diodes,2,"D13,D16",1N5369BRL,
Diodes,4,"D18-D21",6A10,
Diodes,5,"D22-D24,D27,D28",1N4148,
Miscellaneous,2,"F1,F2",FUSIBLE,
Miscellaneous,1,"F3",250 mA,
Miscellaneous,1,"F4",10A,
Miscellaneous,2,"J1,J2",CONN-SIL2,
Miscellaneous,1,"J3",CONN-D9M,
Miscellaneous,1,"J4",CONN-DIL10,
Miscellaneous,3,"J5-J7",TBLOCK-I2,
Miscellaneous,2,"L1,L2",10uH/10A,
Miscellaneous,5,"P1,P2,RV3,RV4,RV8",10k,
Miscellaneous,1,"RL1",RLY-SPCO,
Miscellaneous,4,"RV1,RV2,RV6,RV9",100k,
Miscellaneous,1,"RV5",5k,
Miscellaneous,1,"RV7",50k,
Miscellaneous,1,"TR1",12+12,
Miscellaneous,1,"VR1",250 V,
Miscellaneous,1,"X1",CRYSTAL,
